# brandId	brandName
ent_246464	Pony_数码
ent_246005	大宝
ent_140618	法迪
ent_245946	忆思源
ent_058840	十万大山
ent_103876	零拾铺子
ent_113445	科立方
ent_011729	雅客
ent_150752	分寸
ent_072146	保黛宝
ent_053946	与美
ent_152200	学厨
ent_152186	卡琳娜
ent_193828	澳柯玛
ent_233964	雅洁
ent_130785	莱梅德
ent_129124	伟峰
ent_126947	嘉特
ent_103711	厨王
ent_194799	初弎
ent_239694	光希
ent_082562	马克华菲
ent_013609	E路驰
ent_030238	九阳
ent_214092	佳宝
ent_101796	港荣
ent_240942	厨之健_家电
ent_054066	九道湾
ent_119487	利其尔
ent_128236	德玛仕_厨房电器
ent_166544	唐巢
ent_123768	佳能
ent_058563	林家铺子
ent_074271	弘可
ent_223309	舒适
ent_082634	芝麻
ent_044792	凯儿得乐
ent_181705	古驰
ent_040245	三元
ent_037624	依恋
ent_160558	纤麦
ent_241365	希格
ent_018002	堡狮龙
ent_072452	口水族
ent_206535	家宝风
ent_165103	首彩
ent_050951	邦克仕
ent_187294	马大姐
ent_128021	顺发功夫
ent_048797	明之选
ent_172111	蜗牛队长
ent_217570	森美尚
ent_098531	薏凡特
ent_018319	英雄
ent_024190	裕丰鼎能
ent_003156	日洲
ent_188894	康贝
ent_231094	壮元海
ent_165279	三梵
ent_027739	药圣堂
ent_015935	曼妮芬
ent_084158	容声
ent_207817	金鸽
ent_159335	飞羽
ent_162660	麻莎
ent_228212	德辉
ent_190329	康宁餐具
ent_168182	安踏
ent_091193	家顺
ent_210811	金龙鱼
ent_131446	乐健儿
ent_058297	棉马
ent_055327	开古
ent_117986	果园老农
ent_215156	洛神
ent_212746	太平鸟
ent_186045	元田树
ent_093505	西班
ent_041683	黄胜记
ent_109813	金灶
ent_236013	厨甄
ent_077733	卡宾
ent_067494	暴走的萝莉
ent_175157	汤姆农场
ent_221327	大老粗
ent_051924	清清美
ent_125710	剑南春
ent_121899	华美
ent_001018	四海
ent_040049	爱煮
ent_170142	双雄
ent_084620	杰璞斯
ent_010459	迪士尼
ent_107357	一品李
ent_147663	老恒和
ent_206579	花瓣
ent_030283	家居
ent_013426	春光
ent_110672	梦特娇
ent_157282	天猫精灵
ent_202285	安蜜尔
ent_068298	科洋
ent_128715	纽斯
ent_000436	雪佳
ent_098887	雷翼
ent_245867	百诺
ent_145439	凯德氏
ent_058597	开普特
ent_201512	尊尼威龙
ent_126099	焕龙
ent_242764	可扬
ent_145024	高秀
ent_038298	双飞燕
ent_043008	小鸭牌
ent_116614	托瓦
ent_012496	韩彩
ent_011083	若谷草堂
ent_024168	祈发
ent_221778	纳莱科斯
ent_061628	宇美乐
ent_027160	林德曼
ent_200061	小鱼儿
ent_057258	睿嫣润膏
ent_074238	富罗迷
ent_074307	希杰
ent_104798	泉利堂
ent_098705	安妮
ent_049977	奔富
ent_179991	罗莱
ent_111854	君焙
ent_028199	加减乘除
ent_231427	九鲤湖
ent_024905	安琪
ent_168606	昆仑
ent_003085	海绵宝宝
ent_027577	十月结晶
ent_153848	张口爱
ent_048724	茗振
ent_183905	品能
ent_129179	舟水联
ent_102794	比奇
ent_185929	蓝图
ent_127241	智神
ent_076422	莱克
ent_178870	班德拉斯
ent_192202	好迪精华素
ent_012945	斯凯奇
ent_021972	华润
ent_065183	蜂蜜
ent_076321	柠檬
ent_217989	欧凡
ent_013848	思笔乐
ent_197982	德庄
ent_135222	玛璐托
ent_064474	航飞
ent_156809	感恋_食品
ent_219911	橘子
ent_215958	男女
ent_062714	尤搏思
ent_228812	寻桃
ent_064277	莱克斯顿
ent_168900	金麦
ent_030462	得力
ent_220382	悠莱
ent_040366	一加
ent_011337	胡萝卜
ent_143717	多彩
ent_210658	永兴
ent_178617	匡威
ent_030346	五和
ent_131965	婷美
ent_008510	佑天兰
ent_094000	托斯卡纳
ent_114354	三菱
ent_130282	同仁堂
ent_136475	东北
ent_151376	木马人
ent_079941	亚克西
ent_131398	爱国者
ent_118883	老汤_清洁工具
ent_185002	豆腐
ent_065644	三少
ent_155005	威克多
ent_093828	露兰姬娜
