# placeOfOriginId	placeOfOriginName
ent_244865	宁夏
ent_169366	老挝
ent_077743	贵阳市
ent_237333	马来西亚
ent_000952	冰岛
ent_221388	挪威
ent_121487	北京
ent_010737	柬埔寨
ent_133246	俄罗斯
ent_096464	山西
ent_073989	中山市
ent_055093	爱尔兰
ent_187409	罗马尼亚
ent_224061	不丹
ent_168207	成都
ent_009223	神农架
ent_201009	苏格兰
ent_164519	湖北
ent_149742	德州市
ent_170982	北戴河
ent_213946	江苏省
ent_248245	莱芜
ent_081299	印度尼西亚
ent_099730	波尔多
ent_011862	南宁市
ent_061115	张家界市
ent_109869	四川省
ent_052118	南美
ent_163709	福建
ent_121030	新加坡
ent_238713	徐州市
ent_097065	浙江
ent_145751	德国
ent_221338	贵州省
ent_079622	烟台
ent_016407	亚太地区
ent_084185	欧洲
ent_160665	云南
ent_105633	昆明
ent_094684	丹麦
ent_076735	安徽
ent_209775	宜兴市
ent_024533	粘胶
ent_010695	台州
ent_068760	美国
ent_178787	法国
ent_002037	辽宁省
ent_022135	波兰
ent_160793	河北省
ent_017713	合肥
ent_044706	青海省
ent_131216	墨西哥
ent_029473	台州市
ent_105138	唐山市
ent_111128	龙口
ent_120798	厦门
ent_138285	天津
ent_205652	东莞市
ent_158314	广东省
ent_143349	白俄罗斯
ent_030946	陕西
ent_069445	绍兴
ent_055685	亚太
ent_063898	澳门
ent_037497	印尼
ent_003110	湖南省
ent_133604	锦纶
ent_238086	潮州市
ent_032248	宁波市
ent_203511	青海
ent_225439	汕头
ent_035943	黑龙江
ent_006999	海南
ent_139229	法国产区
ent_038732	意大利
ent_235568	瑞士
ent_178633	九江
ent_087194	金华
ent_063928	智利
ent_053825	欧美
ent_135823	台湾省
ent_064174	埃及
ent_002063	江阴市
ent_159323	云南省
ent_135443	香港
ent_043627	浙江省
ent_091226	荷兰
ent_234626	瑞典
ent_161107	西安市
ent_070717	德化
ent_086125	景德镇市
ent_161691	九龙
ent_089067	台湾
ent_150498	澳大利亚
ent_074246	阿根廷
ent_146996	温州绍兴嘉兴台州宁波
ent_090156	成都市
ent_208058	丽水
ent_204127	阳江
ent_068700	其他海外地区
ent_045371	常州市
ent_050959	重庆市
ent_004766	内蒙古
ent_043488	大洋洲
ent_132441	海盐
ent_226624	加拿大
ent_211883	不分级
ent_140908	连云港
ent_001005	海外
ent_216332	韶关市
ent_138440	广西
ent_065651	哈尔滨市
ent_008337	萨尔瓦多
ent_051627	广西壮族自治区
ent_172594	哥伦比亚
ent_237245	越南
ent_019762	山东省
ent_083204	陕西省
ent_104576	湖南陵
ent_091710	马达加斯加
ent_135452	云南台格品
ent_189723	常熟
ent_082355	湖南
ent_216083	鹤岗
ent_160625	匈牙利
ent_151363	克罗地亚
ent_239175	南昌市
ent_136687	印度
ent_062764	澳门特别行政区
ent_172825	中国
ent_143830	other
ent_013555	津市
ent_195968	杭州市
ent_090817	聊城市
ent_233931	青岛
ent_244221	嘉兴
ent_159448	西藏
ent_043669	保定市
ent_114507	粘纤
ent_002267	葡萄牙
ent_199834	潮州
ent_150550	福建省
ent_075222	台州黄岩
ent_172852	泰国
ent_035363	新疆维吾尔自治区
ent_130679	内蒙古自治区
ent_011649	日本
ent_117690	广东东
ent_171869	黑龙江省
ent_203280	上海市
ent_147761	金华市
ent_233383	邢台
ent_170843	曲靖市
ent_124519	进口
ent_025184	石家庄
ent_186341	棉质
ent_134172	西班牙
ent_200762	张家口市
ent_042945	广东
ent_115491	澳洲
ent_177314	平顶山
ent_123553	福州市
ent_032114	东阳
ent_241250	德化县
ent_208623	南阳`
ent_212673	香港特别行政区
ent_095469	南通市
ent_049516	英国
ent_107268	吉林
ent_210648	新西兰
ent_141541	厦门市
ent_248854	万州
ent_042404	天津市
ent_088523	新乡
ent_103598	南京
ent_183027	辽宁
ent_127558	广州
ent_066594	涿州
ent_120972	北京市
ent_005799	港澳
ent_038857	西藏自治区
ent_033531	宁波
ent_028739	惠州
ent_231615	新疆
ent_082313	沧州市
ent_033815	宿迁
ent_162476	苏州市
ent_105644	伊春市
ent_077332	南非
ent_117646	丝绵
ent_204681	深圳市
ent_098946	安徽省
ent_210542	扬州
ent_019234	韩国
ent_032090	汤加
ent_135348	江苏
ent_088363	廊坊
ent_102791	山东
ent_121171	菲律宾
ent_067333	景德镇
ent_030654	江西
ent_179312	河南省
ent_101768	吉林省
ent_155511	比利时
ent_225394	秦皇岛
ent_152435	甘肃
ent_228269	贵州
ent_151366	吐鲁番
ent_135321	苏州
ent_055477	奥地利
ent_068424	东北
ent_137191	温州
ent_201121	海南省
ent_020801	武汉
