# toyTypeId	toyTypeName
ent_196365	泡泡机
ent_171899	玩具车
ent_159678	恐龙蛋
ent_107348	仿真维修工具
ent_180685	兔宝宝魔术箱
ent_218339	益智
ent_128151	魔法棒
ent_211183	模型
ent_013599	海洋球
ent_093489	幼儿启蒙
ent_160773	故事机
ent_071621	赛车
ent_233613	多功能安全锁
ent_191334	装扮
ent_165458	水泥搅拌车
ent_163236	贩卖机
ent_232675	千型
ent_216352	旋转拖把
ent_200858	领针
ent_125948	扫地机器人
ent_042118	仿真收银机
ent_094878	其
ent_145801	雪糕机
ent_148785	电动玩具
ent_072405	仿真喂哺护理
ent_127070	坚果制品
ent_042273	变身器
ent_151809	仿真厨房类
ent_171960	仿真生活家电
ent_154009	红茶
ent_112339	战斗盘
ent_182621	其它
ent_057117	弹射玩具
ent_086663	靠垫/抱枕
ent_239521	核桃
ent_025261	干货枣类
ent_221506	瞭望塔
ent_000379	解环
ent_182622	游乐园
ent_020111	仿真房间
ent_010313	冷冻蟹类
ent_219538	摩天轮
ent_089609	单杆手推玩具
ent_207448	瓜子
ent_192239	鞋垫
ent_019401	领带
ent_029025	积木
ent_239133	海苔
ent_124321	仿真医生玩具
ent_006852	跳棋
ent_073940	早餐谷物
ent_154945	学舌
ent_008649	喷水类戏水玩具
ent_167718	羽毛球
ent_161012	飞镖/射击/射箭类
ent_182858	扭蛋机
ent_231972	智能娃娃
ent_030663	金属玩具
ent_010577	鸡肉零食
ent_123112	多功能手推游戏车
ent_130667	花果茶
ent_017312	靴子
ent_141253	软弹枪
ent_109986	泡泡枪
ent_133611	奥特曼人偶
ent_198537	汉堡包
ent_015920	鸭肉零食
ent_236396	霜
ent_214995	电动/遥控船类
ent_072218	乐园
ent_086482	翻斗车
ent_189224	塑胶玩具
ent_067142	陀螺
ent_089302	齿轮积木
ent_243845	沙滩车
ent_012775	冷藏果汁
ent_035475	组装型
ent_247836	卫生巾
ent_135992	球类玩具
ent_000470	木制玩具
ent_132010	手抓球
ent_037642	怪兽
ent_177283	儿童自行车
ent_051009	洗发水
ent_177503	公仔
ent_222028	抓娃娃机
ent_231808	普通娃娃
ent_011864	仿真购物车
ent_122691	拼插积木
ent_066124	仿真化妆台
ent_225926	雪糕车
ent_023894	其它玩具
ent_237035	仿真食物
ent_104427	拼搭积木
ent_199732	集装箱
ent_161683	荔枝
ent_206023	DIY定制
ent_032983	毛绒玩具
ent_133807	娃娃
ent_072422	每日坚果/混合坚果
ent_131813	电玩具
ent_012914	健身球
ent_052539	项链
ent_038829	西式糕点
ent_153326	斗兽棋
